id,name,constituency,state,party,criminal_cases,total_assets,liabilities,source_url
mandi-kangna-ranaut,Kangna Ranaut,Mandi,Himachal Pradesh,BJP,8,916631239,173886641,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8764
ananthapur-ambica-g-lakshminarayana-valmiki,Ambica G Lakshminarayana Valmiki,Ananthapur,Andhra Pradesh,TDP,8,47540056,2119559,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5097
sultanpur-rambhual-nishad,Rambhual Nishad,Sultanpur,Uttar Pradesh,SP,8,37405832,363092,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8073
saharanpur-imran-masood,Imran Masood,Saharanpur,Uttar Pradesh,INC,8,55502166,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=298
chidambaram-sc-thirumaavalavan-thol,Thirumaavalavan Thol,Chidambaram (SC),Tamil Nadu,Viduthalai Chiruthaigal Katchi,7,24455903,83969,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=816
maldaha-uttar-khagen-murmu,Khagen Murmu,Maldaha Uttar,West Bengal,BJP,7,13590846,234412,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3375
jahanabad-surendra-prasad-yadav,Surendra Prasad Yadav,Jahanabad,Bihar,RJD,7,138754448,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9601
ratnagiri-sindhudurg-narayan-tatu-rane,Narayan Tatu Rane,Ratnagiri-Sindhudurg,Maharashtra,BJP,7,1088739226,293710906,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4619
mumbai-north-central-gaikwad-varsha-eknath,Gaikwad Varsha Eknath,Mumbai North-Central,Maharashtra,INC,7,76848656,10160000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7096
nilgiris-sc-raja-a,Raja A,Nilgiris (SC),Tamil Nadu,DMK,7,69362170,1900484,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1167
kasaragod-rajmohan-unnithan,Rajmohan Unnithan,Kasaragod,Kerala,INC,6,32432135,678829,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2287
alipurduars-st-manoj-tigga,Manoj Tigga,Alipurduars (ST),West Bengal,BJP,6,5751023,1602698,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=13
